name,datetime,tempmax,tempmin,temp,precip,preciptype
"Chicago, IL, United States",2016-03-12,59.0,38.2,47.3,0.0,
"Chicago, IL, United States",2016-03-13,49.0,43.8,46.5,0.676,rain
"Chicago, IL, United States",2016-03-14,52.8,44.1,47.1,0.116,rain
"Chicago, IL, United States",2016-03-15,61.7,46.7,53.2,0.069,rain
"Chicago, IL, United States",2016-03-16,57.4,48.3,52.6,0.224,rain
"Chicago, IL, United States",2016-03-17,55.7,42.2,49.0,0.0,
"Chicago, IL, United States",2016-03-18,46.1,34.5,40.6,0.0,
"Chicago, IL, United States",2016-03-19,44.7,35.6,39.0,0.0,
"Chicago, IL, United States",2016-03-20,43.7,32.7,38.2,0.0,
"Chicago, IL, United States",2016-03-21,49.3,31.9,40.8,0.0,
"Chicago, IL, United States",2016-03-22,65.2,44.3,53.2,0.01,rain
"Chicago, IL, United States",2016-03-23,50.2,39.3,41.4,0.068,rain
"Chicago, IL, United States",2016-03-24,39.0,31.4,36.6,1.022,"rain,snow"
"Chicago, IL, United States",2016-03-25,45.1,30.6,36.6,0.001,"rain,snow"
"Chicago, IL, United States",2016-03-26,53.6,33.8,43.3,0.0,
"Chicago, IL, United States",2016-03-27,64.7,41.4,48.8,0.186,rain
"Chicago, IL, United States",2016-03-28,51.5,39.5,45.3,0.0,
"Chicago, IL, United States",2016-03-29,58.6,34.7,46.3,0.0,
"Chicago, IL, United States",2016-03-30,60.4,45.5,52.4,0.278,rain
"Chicago, IL, United States",2016-03-31,66.6,47.8,59.1,0.164,rain
"Chicago, IL, United States",2016-04-01,49.4,39.3,43.3,0.12,rain
"Chicago, IL, United States",2016-04-02,39.5,31.4,34.9,0.016,"rain,snow"
"Chicago, IL, United States",2016-04-03,71.7,28.5,47.8,0.0,
"Chicago, IL, United States",2016-04-04,40.5,31.4,34.7,0.0,
"Chicago, IL, United States",2016-04-05,45.9,28.2,37.3,0.024,rain
"Chicago, IL, United States",2016-04-06,49.6,43.1,46.4,0.402,rain
"Chicago, IL, United States",2016-04-07,44.6,36.5,39.7,0.033,rain
"Chicago, IL, United States",2016-04-08,42.4,29.9,37.1,0.069,"rain,snow"
"Chicago, IL, United States",2016-04-09,36.9,23.7,30.6,0.006,"rain,snow"
"Chicago, IL, United States",2016-04-10,50.8,33.4,41.4,0.123,"rain,snow"
"Chicago, IL, United States",2016-04-11,51.4,41.7,48.1,0.002,rain
"Chicago, IL, United States",2016-04-12,45.1,33.4,39.7,0.0,
